Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2015,36,1,0,H4,44,1,,,1580388693,0
2015,36,1,4,H4,44,1,,,1277,0
2015,36,1,8,H4,44,1,,,868,0
2015,36,1,32,H4,44,1,,,457292,0
2015,36,1,36,H4,44,1,,,1428742,0
2015,36,1,40,H4,44,1,,,18030020,0
2015,36,1,56,H4,44,1,,,10988161,0
2015,36,1,68,H4,44,1,,,103032,0
2015,36,1,70,H4,44,1,,,116198,0
2015,36,1,76,H4,44,1,,,16267069,0
2015,36,1,90,H4,44,1,,,4261083,0
2015,36,1,100,H4,44,1,,,471116,0
2015,36,1,104,H4,44,1,,,1076008,0
2015,36,1,116,H4,44,1,,,2724800,0
2015,36,1,120,H4,44,1,,,178379,0
2015,36,1,124,H4,44,1,,,44003474,0
2015,36,1,144,H4,44,1,,,376985,0
2015,36,1,152,H4,44,1,,,59089730,0
2015,36,1,156,H4,44,1,,,398092090,0
2015,36,1,166,H4,44,1,,,1363,0
2015,36,1,178,H4,44,1,,,27417,0
2015,36,1,180,H4,44,1,,,23254,0
2015,36,1,188,H4,44,1,,,8966,0
2015,36,1,191,H4,44,1,,,356766,0
2015,36,1,196,H4,44,1,,,34983,0
2015,36,1,203,H4,44,1,,,29367900,0
2015,36,1,208,H4,44,1,,,1619848,0
2015,36,1,218,H4,44,1,,,261596,0
2015,36,1,222,H4,44,1,,,93681,0
2015,36,1,233,H4,44,1,,,23627648,0
2015,36,1,242,H4,44,1,,,693375,0
2015,36,1,246,H4,44,1,,,14127640,0
2015,36,1,251,H4,44,1,,,40017248,0
2015,36,1,258,H4,44,1,,,5362,0
2015,36,1,268,H4,44,1,,,2450,0
2015,36,1,276,H4,44,1,,,34111169,0
2015,36,1,288,H4,44,1,,,13393,0
2015,36,1,300,H4,44,1,,,1440838,0
2015,36,1,320,H4,44,1,,,44629,0
2015,36,1,328,H4,44,1,,,59803,0
2015,36,1,344,H4,44,1,,,1427372,0
2015,36,1,348,H4,44,1,,,925807,0
2015,36,1,360,H4,44,1,,,223055759,0
2015,36,1,364,H4,44,1,,,2626,0
2015,36,1,372,H4,44,1,,,124516,0
2015,36,1,376,H4,44,1,,,768,0
2015,36,1,381,H4,44,1,,,12850160,0
2015,36,1,384,H4,44,1,,,25198,0
2015,36,1,392,H4,44,1,,,758808,0
2015,36,1,404,H4,44,1,,,40127,0
2015,36,1,410,H4,44,1,,,1075182,0
2015,36,1,418,H4,44,1,,,193937,0
2015,36,1,422,H4,44,1,,,3197,0
2015,36,1,428,H4,44,1,,,564298,0
2015,36,1,440,H4,44,1,,,10730087,0
2015,36,1,442,H4,44,1,,,4500,0
