Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2015,36,1,0,"H4","44",1,,,1580388693,0
2015,36,1,36,"H4","44",1,,,1428742,0
2015,36,1,40,"H4","44",1,,,18030020,0
2015,36,1,56,"H4","44",1,,,10988161,0
2015,36,1,124,"H4","44",1,,,44003474,0
2015,36,1,203,"H4","44",1,,,29367900,0
2015,36,1,208,"H4","44",1,,,1619848,0
2015,36,1,246,"H4","44",1,,,14127640,0
2015,36,1,251,"H4","44",1,,,40017248,0
2015,36,1,276,"H4","44",1,,,34111169,0
2015,36,1,300,"H4","44",1,,,1440838,0
2015,36,1,348,"H4","44",1,,,925807,0
2015,36,1,372,"H4","44",1,,,124516,0
2015,36,1,381,"H4","44",1,,,12850160,0
2015,36,1,392,"H4","44",1,,,758808,0
2015,36,1,410,"H4","44",1,,,1075182,0
2015,36,1,442,"H4","44",1,,,4500,0
2015,36,1,528,"H4","44",1,,,4200948,0
2015,36,1,554,"H4","44",1,,,261271663,0
2015,36,1,579,"H4","44",1,,,78442,0
2015,36,1,616,"H4","44",1,,,3152777,0
2015,36,1,620,"H4","44",1,,,1231594,0
2015,36,1,703,"H4","44",1,,,15050,0
2015,36,1,724,"H4","44",1,,,3170454,0
2015,36,1,752,"H4","44",1,,,18720193,0
2015,36,1,757,"H4","44",1,,,1254551,0
2015,36,1,826,"H4","44",1,,,1789293,0
2015,36,1,842,"H4","44",1,,,108221686,0
2015,40,1,0,"H4","44",1,,,2467948404,0
2015,40,1,36,"H4","44",1,,,6857,0
2015,40,1,56,"H4","44",1,,,5779700,0
2015,40,1,124,"H4","44",1,,,2527235,0
2015,40,1,203,"H4","44",1,,,423065064,0
2015,40,1,208,"H4","44",1,,,1553002,0
2015,40,1,246,"H4","44",1,,,33473047,0
2015,40,1,251,"H4","44",1,,,13673802,0
2015,40,1,276,"H4","44",1,,,925792190,0
2015,40,1,300,"H4","44",1,,,42653,0
2015,40,1,348,"H4","44",1,,,133730671,0
2015,40,1,372,"H4","44",1,,,387728,0
2015,40,1,381,"H4","44",1,,,93522734,0
2015,40,1,392,"H4","44",1,,,129690,0
2015,40,1,410,"H4","44",1,,,38036,0
2015,40,1,442,"H4","44",1,,,7926489,0
2015,40,1,528,"H4","44",1,,,12145014,0
2015,40,1,554,"H4","44",1,,,3360,0
2015,40,1,579,"H4","44",1,,,298566,0
2015,40,1,616,"H4","44",1,,,71977073,0
2015,40,1,620,"H4","44",1,,,1251681,0
2015,40,1,703,"H4","44",1,,,131518611,0
2015,40,1,724,"H4","44",1,,,4289968,0
2015,40,1,752,"H4","44",1,,,20915946,0
2015,40,1,757,"H4","44",1,,,42722023,0
2015,40,1,826,"H4","44",1,,,7063518,0
2015,40,1,842,"H4","44",1,,,10336187,0
2015,56,1,0,"H4","44",1,,,2726638681,0
2015,56,1,36,"H4","44",1,,,14431,0
2015,56,1,40,"H4","44",1,,,18516711,0
2015,56,1,124,"H4","44",1,,,68991011,0
2015,56,1,203,"H4","44",1,,,16254530,0
2015,56,1,208,"H4","44",1,,,17932778,0
2015,56,1,246,"H4","44",1,,,38534940,0
2015,56,1,251,"H4","44",1,,,436602706,0
2015,56,1,276,"H4","44",1,,,359580028,0
2015,56,1,300,"H4","44",1,,,560959,0
2015,56,1,348,"H4","44",1,,,14392669,0
2015,56,1,372,"H4","44",1,,,8858541,0
2015,56,1,381,"H4","44",1,,,22230945,0
2015,56,1,392,"H4","44",1,,,261659,0
2015,56,1,410,"H4","44",1,,,44338,0
2015,56,1,442,"H4","44",1,,,71702199,0
2015,56,1,528,"H4","44",1,,,360471191,0
2015,56,1,554,"H4","44",1,,,246839,0
2015,56,1,579,"H4","44",1,,,4122880,0
2015,56,1,616,"H4","44",1,,,77621676,0
2015,56,1,620,"H4","44",1,,,10244876,0
2015,56,1,703,"H4","44",1,,,7184284,0
2015,56,1,724,"H4","44",1,,,27140550,0
2015,56,1,752,"H4","44",1,,,68741906,0
2015,56,1,757,"H4","44",1,,,1145864,0
2015,56,1,826,"H4","44",1,,,56537950,0
2015,56,1,842,"H4","44",1,,,136168670,0
2015,124,1,0,"H4","44",1,,,3009701293,0
2015,124,1,36,"H4","44",1,,,256659,0
2015,124,1,40,"H4","44",1,,,45675911,0
2015,124,1,56,"H4","44",1,,,8207732,0
2015,124,1,124,"H4","44",1,,,49264545,0
2015,124,1,203,"H4","44",1,,,647950,0
2015,124,1,208,"H4","44",1,,,1364281,0
2015,124,1,246,"H4","44",1,,,2994780,0
2015,124,1,251,"H4","44",1,,,7717076,0
2015,124,1,276,"H4","44",1,,,71698860,0
2015,124,1,300,"H4","44",1,,,65227,0
2015,124,1,348,"H4","44",1,,,239645,0
2015,124,1,372,"H4","44",1,,,71478,0
2015,124,1,381,"H4","44",1,,,20022441,0
2015,124,1,392,"H4","44",1,,,1257139,0
2015,124,1,410,"H4","44",1,,,550783,0
2015,124,1,442,"H4","44",1,,,1723,0
2015,124,1,528,"H4","44",1,,,5630789,0
